seq_id,PCR01,PCR02,PCR03,PCR04,PCR05,PCR06,PCR07,PCR08,PCR09,PCR10
GCfix_011464,594,750,794.0,862.0,830.0,688.0,590.0,748.0,620.0,498.0
GCfix_006001,594,642,660.0,652.0,590.0,500.0,404.0,376.0,274.0,188.0
GCfix_007281,592,208,58.0,44.0,24.0,14.0,16.0,18.0,6.0,6.0
GCfix_009899,590,666,708.0,814.0,910.0,800.0,740.0,864.0,770.0,556.0
GCall_010467,590,266,106.0,64.0,38.0,14.0,6.0,4.0,4.0,4.0
GCfix_007957,588,712,696.0,754.0,800.0,758.0,674.0,816.0,794.0,496.0
GCfix_002681,588,680,734.0,862.0,878.0,738.0,634.0,710.0,720.0,496.0
GCfix_000352,586,710,752.0,1010.0,858.0,790.0,774.0,752.0,698.0,510.0
GCall_011936,590,638,648.0,722.0,546.0,494.0,370.0,394.0,304.0,234.0
GCall_010100,588,624,486.0,656.0,542.0,420.0,362.0,364.0,312.0,161.0
GCall_003891,588,674,756.0,790.0,828.0,674.0,692.0,782.0,682.0,536.0
GCfix_010025,588,652,616.0,686.0,658.0,572.0,532.0,506.0,476.0,346.0
GCfix_009938,586,588,666.0,800.0,816.0,760.0,750.0,726.0,738.0,558.0
GCfix_008538,586,626,710.0,778.0,828.0,794.0,674.0,800.0,788.0,562.0
GCfix_006020,586,602,638.0,788.0,746.0,732.0,622.0,736.0,644.0,468.0
GCall_005495,586,498,384.0,398.0,286.0,194.0,146.0,152.0,106.0,70.0
GCall_003213,586,694,600.0,756.0,600.0,504.0,456.0,418.0,356.0,292.0
GCfix_006284,586,284,134.0,92.0,46.0,22.0,20.0,20.0,24.0,14.0
GCall_004876,582,630,576.0,752.0,654.0,562.0,524.0,558.0,530.0,358.0
GCall_001903,584,582,644.0,748.0,532.0,514.0,420.0,470.0,384.0,264.0
GCall_008616,584,578,506.0,590.0,402.0,306.0,240.0,234.0,174.0,132.0
GCall_008503,582,764,750.0,844.0,948.0,832.0,760.0,906.0,854.0,652.0
GCall_008285,582,560,612.0,712.0,800.0,546.0,532.0,540.0,498.0,358.0
GCfix_008301,586,134,38.0,44.0,26.0,18.0,20.0,30.0,24.0,18.0
GCfix_007821,586,338,198.0,132.0,96.0,48.0,20.0,18.0,18.0,10.0
GCfix_010019,580,300,196.0,98.0,36.0,22.0,10.0,4.0,10.0,2.0
GCfix_007613,586,770,684.0,796.0,800.0,710.0,728.0,686.0,614.0,448.0
GCfix_004977,580,448,276.0,192.0,130.0,62.0,46.0,40.0,12.0,12.0
GCfix_001552,582,644,648.0,856.0,758.0,712.0,650.0,616.0,536.0,366.0
GCfix_010190,578,322,184.0,92.0,48.0,46.0,14.0,6.0,14.0,12.0
GCall_008633,582,732,600.0,762.0,670.0,484.0,554.0,546.0,508.0,386.0
GCall_005748,578,778,722.0,930.0,1130.0,886.0,910.0,952.0,1034.0,788.0
GCfix_008258,578,604,604.0,620.0,652.0,538.0,380.0,448.0,342.0,260.0
GCfix_003779,578,620,628.0,690.0,644.0,508.0,416.0,422.0,416.0,260.0
GCall_011861,578,712,806.0,920.0,988.0,866.0,846.0,828.0,914.0,614.0
GCall_001851,580,774,788.0,1162.0,1214.0,1044.0,972.0,1192.0,1178.0,820.0
GCfix_001904,578,642,698.0,782.0,746.0,688.0,624.0,638.0,570.0,446.0
GCall_006718,578,594,670.0,794.0,734.0,628.0,642.0,582.0,546.0,444.0
GCall_001390,576,650,545.0,704.0,570.0,488.0,398.0,418.0,380.0,240.0
GCfix_009534,576,596,604.0,732.0,636.0,554.0,454.0,538.0,438.0,300.0
GCfix_004351,576,584,676.0,666.0,660.0,536.0,496.0,542.0,554.0,352.0
GCall_005749,582,746,756.0,898.0,1064.0,1086.0,1044.0,1168.0,1134.0,984.0
GCfix_011128,580,176,70.0,54.0,18.0,26.0,4.0,10.0,10.0,14.0
GCfix_003459,574,634,600.0,738.0,652.0,548.0,520.0,540.0,406.0,284.0
GCfix_001675,580,578,594.0,678.0,646.0,596.0,504.0,542.0,512.0,328.0
GCall_010153,578,570,600.0,640.0,572.0,470.0,338.0,298.0,252.0,182.0
GCall_003530,578,402,310.0,236.0,168.0,96.0,58.0,68.0,26.0,14.0
GCfix_007429,570,646,738.0,802.0,758.0,608.0,594.0,706.0,554.0,430.0
GCfix_001881,574,682,689.0,750.0,812.0,684.0,612.0,622.0,500.0,420.0
GCall_006897,572,632,676.0,766.0,852.0,702.0,676.0,766.0,742.0,428.0
GCfix_006841,574,574,648.0,710.0,668.0,574.0,546.0,552.0,490.0,328.0
GCall_004208,574,716,632.0,718.0,668.0,558.0,468.0,532.0,442.0,308.0
GCall_000173,580,680,788.0,884.0,872.0,722.0,698.0,714.0,672.0,448.0
GCfix_011715,570,650,836.0,1000.0,1028.0,896.0,1018.0,1140.0,1152.0,890.0
GCfix_003152,570,666,856.0,1108.0,1076.0,988.0,978.0,1188.0,1244.0,878.0
GCall_002628,570,722,754.0,916.0,882.0,898.0,830.0,960.0,858.0,718.0
GCall_001164,574,602,580.0,706.0,600.0,502.0,442.0,376.0,368.0,270.0
GCfix_007621,574,688,678.0,766.0,812.0,694.0,706.0,758.0,708.0,512.0
GCfix_007507,572,800,796.0,910.0,998.0,900.0,918.0,942.0,998.0,730.0
GCfix_001349,568,546,512.0,578.0,568.0,468.0,370.0,340.0,346.0,210.0
GCall_010902,570,826,686.0,950.0,972.0,848.0,868.0,906.0,928.0,618.0
GCall_004880,572,168,82.0,46.0,18.0,12.0,6.0,18.0,4.0,2.0
GCall_003345,574,672,610.0,854.0,840.0,820.0,738.0,792.0,712.0,558.0
GCfix_011878,568,644,716.0,858.0,876.0,842.0,776.0,928.0,784.0,592.0
GCall_011702,568,600,660.0,756.0,798.0,682.0,640.0,650.0,732.0,440.0
GCall_009055,570,698,660.0,810.0,766.0,618.0,488.0,596.0,578.0,428.0
GCall_006119,570,148,32.0,22.0,16.0,12.0,2.0,2.0,4.0,2.0
GCfix_006033,570,678,624.0,632.0,608.0,494.0,406.0,468.0,364.0,278.0
GCall_005303,568,632,614.0,718.0,636.0,680.0,628.0,532.0,454.0,358.0
GCall_005095,568,148,54.0,8.0,10.0,12.0,10.0,4.0,10.0,0.0
GCfix_011936,566,744,716.0,878.0,902.0,852.0,836.0,912.0,954.0,730.0
GCall_010506,566,734,780.0,946.0,926.0,832.0,956.0,1044.0,948.0,666.0
GCfix_008578,566,732,772.0,942.0,972.0,1008.0,798.0,902.0,858.0,650.0
GCfix_007505,564,776,756.0,946.0,844.0,768.0,754.0,674.0,704.0,476.0
GCfix_009017,564,596,686.0,722.0,598.0,532.0,494.0,466.0,436.0,262.0
GCall_008868,566,746,726.0,880.0,972.0,972.0,970.0,1020.0,1110.0,738.0
GCall_011713,564,696,838.0,858.0,958.0,822.0,794.0,964.0,848.0,648.0
GCall_006217,564,794,878.0,982.0,1114.0,984.0,892.0,1064.0,956.0,744.0
GCfix_007936,566,638,678.0,834.0,850.0,764.0,756.0,788.0,688.0,486.0
GCfix_005653,564,672,615.0,650.0,700.0,590.0,548.0,584.0,486.0,352.0
GCall_011899,562,656,722.0,792.0,748.0,680.0,608.0,628.0,574.0,406.0
GCall_006039,570,694,766.0,858.0,898.0,738.0,626.0,754.0,670.0,538.0
GCall_005327,562,686,692.0,800.0,690.0,534.0,546.0,572.0,486.0,376.0
GCfix_010586,560,600,594.0,802.0,834.0,664.0,702.0,702.0,600.0,500.0
GCall_008380,562,678,682.0,928.0,1016.0,904.0,876.0,1044.0,966.0,694.0
GCall_003168,562,400,336.0,266.0,172.0,130.0,70.0,56.0,70.0,34.0
GCfix_007047,560,632,694.0,776.0,818.0,822.0,630.0,780.0,758.0,526.0
GCall_003805,562,674,764.0,798.0,798.0,664.0,604.0,686.0,598.0,408.0
GCfix_002612,558,628,550.0,724.0,558.0,438.0,358.0,462.0,394.0,240.0
GCall_010748,558,814,782.0,990.0,990.0,896.0,954.0,1012.0,958.0,706.0
GCall_000021,562,682,674.0,762.0,696.0,576.0,598.0,610.0,650.0,430.0
GCfix_000485,558,570,508.0,624.0,572.0,456.0,430.0,438.0,352.0,262.0
GCall_010305,560,210,80.0,22.0,20.0,8.0,2.0,2.0,8.0,4.0
GCall_009244,558,680,648.0,826.0,708.0,710.0,562.0,494.0,402.0,324.0
GCall_007218,560,360,212.0,164.0,72.0,48.0,48.0,20.0,30.0,20.0
GCall_006949,560,592,572.0,668.0,578.0,486.0,418.0,436.0,360.0,250.0
GCfix_001746,562,712,692.0,700.0,666.0,572.0,518.0,468.0,476.0,286.0
GCfix_000986,558,466,532.0,470.0,368.0,344.0,240.0,242.0,174.0,122.0
GCall_010069,562,656,664.0,792.0,746.0,644.0,550.0,598.0,498.0,388.0
GCfix_002975,556,614,562.0,578.0,522.0,448.0,390.0,398.0,322.0,198.0
GCall_007925,558,744,736.0,836.0,900.0,834.0,722.0,872.0,790.0,522.0
GCall_006830,558,694,696.0,888.0,890.0,782.0,856.0,910.0,874.0,674.0
GCall_004934,558,432,330.0,342.0,190.0,100.0,80.0,62.0,48.0,22.0
GCfix_006872,558,498,574.0,682.0,650.0,600.0,544.0,548.0,474.0,366.0
GCfix_004183,556,682,784.0,920.0,970.0,902.0,956.0,1028.0,1034.0,780.0
GCfix_002652,558,680,772.0,918.0,918.0,828.0,844.0,868.0,854.0,638.0
GCfix_002088,552,624,714.0,958.0,966.0,960.0,898.0,908.0,1038.0,842.0
GCall_010387,554,658,819.0,840.0,744.0,722.0,718.0,880.0,720.0,596.0
GCall_009395,554,318,182.0,106.0,60.0,52.0,22.0,28.0,14.0,18.0
GCall_001837,554,522,470.0,436.0,364.0,278.0,154.0,148.0,92.0,66.0
GCfix_007726,552,762,596.0,774.0,638.0,502.0,478.0,480.0,398.0,216.0
GCfix_001936,554,608,594.0,776.0,760.0,660.0,636.0,714.0,580.0,424.0
GCfix_001010,554,626,682.0,742.0,714.0,624.0,636.0,632.0,620.0,412.0
GCall_011744,556,558,516.0,698.0,720.0,572.0,598.0,708.0,596.0,402.0
GCall_007142,550,632,544.0,594.0,504.0,440.0,368.0,432.0,372.0,218.0
GCall_002405,552,678,684.0,744.0,738.0,584.0,588.0,640.0,538.0,310.0
GCall_000208,552,646,822.0,954.0,1042.0,956.0,894.0,956.0,934.0,760.0
GCfix_005481,552,592,582.0,828.0,796.0,618.0,648.0,810.0,638.0,568.0
GCall_011851,552,530,564.0,640.0,598.0,518.0,496.0,480.0,362.0,320.0
GCall_002470,552,572,584.0,678.0,634.0,498.0,498.0,400.0,442.0,318.0
GCall_000282,550,794,806.0,960.0,890.0,742.0,702.0,798.0,840.0,550.0
GCfix_005829,552,614,572.0,624.0,657.0,522.0,548.0,470.0,446.0,360.0
GCall_004014,552,552,616.0,726.0,606.0,560.0,462.0,466.0,416.0,322.0
GCall_001193,550,712,700.0,850.0,886.0,740.0,784.0,844.0,744.0,584.0
GCfix_007435,548,524,468.0,528.0,506.0,522.0,464.0,432.0,396.0,322.0
GCfix_006749,550,598,624.0,658.0,664.0,528.0,534.0,560.0,456.0,360.0
GCfix_002254,548,378,172.0,86.0,58.0,22.0,8.0,12.0,6.0,2.0
GCfix_001681,548,636,718.0,746.0,792.0,620.0,578.0,700.0,598.0,388.0
GCall_006349,548,604,606.0,606.0,616.0,544.0,420.0,438.0,384.0,258.0
GCall_004501,552,152,56.0,24.0,30.0,10.0,16.0,16.0,6.0,4.0
GCfix_005405,548,756,790.0,964.0,1090.0,1010.0,982.0,1126.0,1132.0,852.0
GCfix_001586,548,656,800.0,920.0,1010.0,934.0,1000.0,1060.0,1068.0,804.0
GCall_011298,548,562,548.0,676.0,718.0,636.0,498.0,542.0,452.0,264.0
GCall_008713,554,478,352.0,356.0,282.0,194.0,142.0,150.0,98.0,70.0
GCall_000331,548,660,794.0,954.0,942.0,808.0,828.0,944.0,852.0,596.0
GCall_000198,552,68,14.0,14.0,6.0,4.0,2.0,4.0,2.0,2.0
GCfix_009466,550,714,620.0,664.0,684.0,438.0,358.0,374.0,362.0,198.0
GCfix_001845,548,280,174.0,88.0,38.0,26.0,18.0,14.0,6.0,2.0
GCall_009627,550,620,640.0,704.0,680.0,618.0,548.0,634.0,608.0,356.0
GCall_005062,550,720,704.0,880.0,1052.0,888.0,976.0,1006.0,1002.0,688.0
GCall_001646,550,536,464.0,556.0,456.0,386.0,292.0,298.0,278.0,202.0
GCfix_009199,548,722,676.0,794.0,796.0,650.0,668.0,664.0,554.0,442.0
GCfix_007942,544,650,688.0,702.0,712.0,552.0,436.0,506.0,436.0,308.0
GCfix_006716,550,394,338.0,214.0,182.0,110.0,78.0,64.0,56.0,18.0
GCfix_010300,544,202,96.0,64.0,32.0,10.0,30.0,6.0,8.0,6.0
GCfix_005295,544,518,342.0,310.0,248.0,158.0,104.0,138.0,86.0,38.0
GCfix_000386,546,160,34.0,24.0,20.0,8.0,16.0,2.0,12.0,0.0
GCall_007891,544,106,32.0,14.0,12.0,14.0,8.0,10.0,2.0,6.0
GCfix_007382,544,624,656.0,744.0,772.0,702.0,622.0,788.0,730.0,434.0
GCfix_003707,542,90,38.0,20.0,14.0,16.0,4.0,6.0,10.0,4.0
GCfix_001377,542,94,30.0,12.0,12.0,8.0,6.0,6.0,6.0,0.0
GCfix_000501,548,320,148.0,90.0,38.0,38.0,34.0,20.0,10.0,4.0
GCall_006461,542,600,656.0,898.0,882.0,810.0,866.0,850.0,842.0,626.0
GCall_003083,542,608,716.0,808.0,880.0,786.0,802.0,904.0,876.0,644.0
GCfix_007077,542,276,98.0,64.0,22.0,8.0,6.0,6.0,12.0,12.0
GCall_011987,544,140,44.0,24.0,14.0,22.0,12.0,16.0,10.0,6.0
GCall_008522,540,540,590.0,616.0,626.0,510.0,540.0,556.0,440.0,340.0
GCall_006793,542,114,64.0,24.0,12.0,16.0,4.0,14.0,18.0,4.0
GCall_003551,546,604,652.0,754.0,684.0,564.0,502.0,526.0,436.0,298.0
GCfix_002463,542,248,120.0,86.0,40.0,24.0,14.0,6.0,16.0,2.0
GCall_008253,540,324,278.0,244.0,146.0,72.0,76.0,48.0,30.0,28.0
GCall_008146,542,332,172.0,126.0,88.0,40.0,18.0,26.0,10.0,10.0
GCfix_010714,544,642,704.0,850.0,842.0,756.0,778.0,856.0,852.0,578.0
GCfix_004846,540,276,174.0,86.0,52.0,20.0,10.0,22.0,8.0,10.0
GCall_009888,540,554,572.0,650.0,640.0,454.0,386.0,414.0,372.0,260.0
GCall_007688,540,656,712.0,896.0,892.0,728.0,740.0,834.0,808.0,544.0
GCfix_000183,538,116,52.0,14.0,4.0,12.0,8.0,6.0,6.0,4.0
GCall_005273,544,722,710.0,836.0,890.0,738.0,714.0,744.0,650.0,474.0
GCall_004085,538,670,646.0,772.0,726.0,602.0,550.0,588.0,486.0,372.0
GCfix_010475,538,656,826.0,946.0,952.0,910.0,806.0,1024.0,976.0,746.0
GCfix_008612,540,406,318.0,272.0,174.0,142.0,60.0,52.0,32.0,24.0
GCfix_002692,542,524,514.0,552.0,454.0,384.0,290.0,314.0,274.0,170.0
GCfix_002268,538,238,90.0,70.0,50.0,12.0,20.0,16.0,4.0,6.0
GCfix_000833,538,632,628.0,822.0,832.0,748.0,684.0,754.0,764.0,542.0
GCall_003919,536,578,710.0,844.0,944.0,828.0,860.0,910.0,864.0,746.0
GCfix_008379,538,636,570.0,694.0,576.0,530.0,418.0,478.0,454.0,290.0
GCfix_008279,536,186,70.0,20.0,16.0,20.0,2.0,12.0,2.0,2.0
GCall_003354,538,646,674.0,784.0,736.0,586.0,566.0,626.0,584.0,484.0
GCfix_010907,536,356,224.0,220.0,128.0,56.0,66.0,52.0,24.0,14.0
GCfix_010820,536,618,624.0,844.0,710.0,504.0,622.0,564.0,562.0,386.0
GCfix_008792,536,548,342.0,282.0,204.0,106.0,106.0,82.0,42.0,26.0
GCfix_008218,538,686,738.0,846.0,940.0,806.0,794.0,984.0,926.0,582.0
GCfix_006164,536,544,468.0,578.0,526.0,382.0,334.0,352.0,242.0,206.0
GCall_010677,538,576,668.0,768.0,900.0,696.0,758.0,836.0,906.0,664.0
GCfix_009109,534,566,474.0,508.0,538.0,364.0,328.0,342.0,296.0,192.0
GCfix_008210,538,274,132.0,118.0,46.0,22.0,30.0,26.0,30.0,12.0
GCfix_003507,534,102,46.0,12.0,20.0,4.0,8.0,2.0,0.0,4.0
GCfix_008067,538,624,710.0,752.0,790.0,800.0,708.0,746.0,598.0,458.0
GCfix_006691,536,396,290.0,244.0,122.0,84.0,38.0,50.0,26.0,16.0
GCfix_005933,536,748,756.0,924.0,958.0,806.0,876.0,990.0,978.0,710.0
GCfix_002881,534,620,600.0,688.0,556.0,542.0,488.0,458.0,372.0,256.0
GCall_008236,532,590,654.0,920.0,946.0,922.0,888.0,950.0,902.0,682.0
GCall_003574,532,666,682.0,832.0,928.0,776.0,776.0,930.0,874.0,678.0
GCfix_007615,530,570,548.0,646.0,582.0,560.0,420.0,438.0,394.0,260.0
GCall_011452,534,622,598.0,758.0,704.0,644.0,716.0,686.0,788.0,574.0
GCall_008965,532,542,658.0,784.0,738.0,668.0,694.0,716.0,690.0,440.0
GCall_008824,532,250,116.0,54.0,38.0,14.0,18.0,12.0,8.0,2.0
GCall_003881,532,464,306.0,188.0,120.0,86.0,58.0,48.0,22.0,22.0
GCall_000610,534,618,672.0,736.0,728.0,612.0,568.0,658.0,594.0,382.0
GCfix_005163,530,516,612.0,826.0,816.0,747.0,730.0,790.0,870.0,630.0
GCfix_001195,534,680,642.0,698.0,686.0,574.0,474.0,474.0,442.0,324.0
GCall_010368,532,570,616.0,810.0,734.0,752.0,664.0,864.0,734.0,558.0
GCfix_011817,530,582,630.0,668.0,610.0,500.0,486.0,550.0,500.0,342.0
GCall_002328,530,668,742.0,842.0,950.0,754.0,702.0,820.0,868.0,560.0
GCall_001493,532,686,662.0,702.0,698.0,634.0,552.0,566.0,496.0,372.0
GCfix_010325,532,106,54.0,42.0,18.0,8.0,6.0,10.0,16.0,4.0
GCall_006679,528,266,144.0,82.0,44.0,18.0,26.0,16.0,12.0,8.0
GCfix_011891,528,648,686.0,816.0,794.0,718.0,678.0,848.0,752.0,586.0
GCfix_008544,530,302,210.0,116.0,90.0,32.0,42.0,36.0,36.0,26.0
GCfix_009699,528,166,82.0,42.0,20.0,6.0,8.0,10.0,4.0,6.0
GCfix_002479,528,584,582.0,606.0,640.0,522.0,436.0,488.0,407.0,300.0
GCfix_001523,526,318,156.0,120.0,78.0,44.0,24.0,30.0,22.0,0.0
GCall_010777,528,664,630.0,730.0,744.0,654.0,720.0,730.0,684.0,486.0
GCall_006778,532,350,208.0,180.0,124.0,76.0,36.0,30.0,22.0,10.0
GCall_005098,530,454,408.0,388.0,290.0,224.0,168.0,174.0,92.0,56.0
GCfix_009200,530,316,234.0,160.0,106.0,80.0,50.0,38.0,36.0,20.0
GCfix_001825,526,646,618.0,588.0,640.0,454.0,496.0,488.0,468.0,254.0
GCall_010169,526,738,790.0,890.0,980.0,836.0,906.0,962.0,934.0,682.0
GCall_003473,528,630,694.0,756.0,840.0,684.0,676.0,806.0,650.0,538.0
GCall_000439,530,696,748.0,906.0,954.0,956.0,946.0,1082.0,1136.0,818.0
GCfix_006194,524,530,576.0,692.0,716.0,584.0,620.0,640.0,644.0,482.0
GCfix_004724,530,636,564.0,688.0,572.0,462.0,418.0,402.0,338.0,298.0
GCfix_002058,524,680,706.0,748.0,902.0,778.0,806.0,830.0,832.0,480.0
GCfix_000668,530,710,765.0,922.0,964.0,880.0,882.0,1076.0,950.0,718.0
GCfix_000122,524,668,594.0,670.0,558.0,456.0,386.0,418.0,400.0,292.0
GCfix_006854,528,636,604.0,626.0,558.0,532.0,372.0,404.0,394.0,270.0
GCall_010616,524,596,550.0,566.0,482.0,410.0,322.0,366.0,328.0,190.0
GCall_005933,524,606,636.0,810.0,884.0,832.0,758.0,906.0,826.0,734.0
GCall_005618,528,298,162.0,90.0,32.0,24.0,8.0,14.0,14.0,4.0
GCall_002957,528,350,240.0,144.0,76.0,42.0,48.0,34.0,18.0,16.0
GCfix_009277,522,674,602.0,776.0,668.0,552.0,448.0,486.0,426.0,280.0
GCfix_006994,522,94,24.0,16.0,10.0,6.0,2.0,4.0,2.0,2.0
GCfix_000026,528,212,90.0,44.0,28.0,4.0,12.0,4.0,2.0,6.0
GCall_005623,524,402,400.0,312.0,198.0,122.0,112.0,102.0,42.0,26.0
GCall_001919,522,692,782.0,910.0,884.0,776.0,850.0,896.0,932.0,630.0
GCall_001761,520,498,460.0,470.0,416.0,244.0,230.0,222.0,196.0,142.0
GCfix_008380,522,630,488.0,670.0,598.0,494.0,444.0,514.0,404.0,328.0
GCall_011248,520,650,564.0,624.0,650.0,526.0,528.0,410.0,412.0,286.0
GCall_005302,522,532,526.0,524.0,410.0,328.0,282.0,326.0,270.0,180.0
GCfix_005618,520,552,408.0,280.0,186.0,126.0,86.0,62.0,46.0,24.0
GCall_011186,520,600,608.0,812.0,842.0,712.0,658.0,794.0,746.0,578.0
GCall_005365,524,420,382.0,364.0,240.0,158.0,156.0,122.0,94.0,66.0
GCall_002345,520,230,110.0,60.0,42.0,18.0,10.0,4.0,8.0,8.0
GCfix_009378,522,636,712.0,950.0,806.0,706.0,700.0,802.0,774.0,550.0
GCfix_009409,520,496,344.0,320.0,244.0,126.0,126.0,58.0,60.0,32.0
GCfix_004976,518,718,742.0,946.0,918.0,798.0,774.0,872.0,746.0,552.0
GCfix_004038,522,614,586.0,726.0,696.0,648.0,526.0,702.0,682.0,454.0
GCall_006565,520,608,658.0,676.0,698.0,562.0,528.0,504.0,456.0,342.0
GCfix_004562,520,618,662.0,772.0,832.0,820.0,716.0,822.0,770.0,536.0
GCfix_005488,516,334,142.0,118.0,60.0,40.0,18.0,10.0,18.0,6.0
GCfix_005179,514,588,632.0,744.0,800.0,814.0,872.0,820.0,832.0,606.0
GCfix_004719,516,688,746.0,772.0,758.0,764.0,716.0,866.0,752.0,534.0
GCfix_003449,514,104,16.0,18.0,8.0,10.0,4.0,4.0,2.0,2.0
GCall_010815,512,652,696.0,898.0,996.0,802.0,892.0,1016.0,976.0,738.0
GCall_009233,512,754,708.0,872.0,794.0,686.0,798.0,744.0,760.0,494.0
GCall_006378,518,742,830.0,1072.0,1078.0,1066.0,1046.0,1232.0,1202.0,892.0
GCfix_009278,512,158,94.0,30.0,38.0,14.0,8.0,6.0,20.0,20.0
GCfix_007078,514,358,230.0,130.0,64.0,34.0,12.0,12.0,2.0,4.0
GCall_011111,512,312,162.0,138.0,74.0,36.0,12.0,16.0,8.0,14.0
GCall_008351,512,594,560.0,654.0,594.0,536.0,378.0,464.0,380.0,286.0
GCall_009948,510,610,608.0,780.0,756.0,554.0,574.0,598.0,498.0,430.0
GCall_006561,510,352,222.0,180.0,104.0,64.0,34.0,36.0,30.0,12.0
GCfix_009494,508,616,634.0,828.0,750.0,658.0,606.0,830.0,686.0,476.0
GCall_007232,514,608,552.0,846.0,896.0,798.0,798.0,926.0,882.0,666.0
GCall_006291,508,288,148.0,144.0,62.0,50.0,18.0,16.0,12.0,18.0
GCfix_008415,506,574,510.0,520.0,432.0,336.0,268.0,212.0,206.0,82.0
GCfix_005996,508,552,578.0,698.0,680.0,536.0,476.0,490.0,452.0,334.0
GCall_009068,508,608,646.0,792.0,712.0,666.0,664.0,754.0,708.0,502.0
GCall_002500,508,196,86.0,58.0,28.0,16.0,10.0,16.0,2.0,6.0
GCfix_010952,504,236,64.0,42.0,32.0,16.0,6.0,12.0,14.0,14.0
GCfix_003977,504,394,246.0,178.0,136.0,58.0,42.0,40.0,20.0,10.0
GCall_006159,506,90,26.0,20.0,16.0,6.0,8.0,6.0,0.0,6.0
GCfix_010122,506,414,310.0,264.0,148.0,116.0,84.0,66.0,40.0,20.0
GCfix_009390,504,604,638.0,718.0,734.0,646.0,582.0,668.0,656.0,512.0
GCall_011761,504,460,420.0,332.0,302.0,236.0,172.0,112.0,112.0,44.0
GCfix_008132,506,616,688.0,772.0,800.0,772.0,690.0,776.0,748.0,532.0
GCfix_007042,508,678,660.0,824.0,778.0,751.0,688.0,844.0,780.0,554.0
GCfix_000328,506,546,516.0,620.0,514.0,492.0,378.0,390.0,396.0,276.0
GCall_005051,506,592,588.0,628.0,612.0,518.0,476.0,474.0,364.0,332.0
GCfix_009379,502,230,106.0,84.0,36.0,16.0,10.0,16.0,16.0,4.0
GCall_010229,504,256,92.0,74.0,44.0,10.0,18.0,12.0,14.0,8.0
GCall_009878,508,648,650.0,782.0,860.0,732.0,710.0,868.0,814.0,608.0
GCfix_008095,502,450,576.0,604.0,630.0,570.0,432.0,492.0,452.0,304.0
GCall_008336,502,660,618.0,850.0,968.0,726.0,778.0,889.0,870.0,630.0
GCall_000369,502,616,666.0,848.0,928.0,912.0,902.0,970.0,970.0,720.0
GCfix_007959,502,654,686.0,714.0,786.0,644.0,616.0,708.0,664.0,488.0
GCfix_006392,506,658,662.0,814.0,878.0,820.0,746.0,776.0,806.0,564.0
GCfix_006223,502,258,122.0,70.0,32.0,32.0,12.0,18.0,4.0,8.0
GCall_011934,502,572,638.0,808.0,770.0,688.0,636.0,632.0,614.0,427.0
GCall_006957,500,628,680.0,768.0,814.0,796.0,814.0,974.0,1050.0,768.0
GCfix_009840,500,534,546.0,628.0,622.0,526.0,514.0,526.0,468.0,302.0
GCall_009088,502,584,562.0,726.0,730.0,638.0,634.0,670.0,654.0,510.0
GCfix_007180,502,290,180.0,124.0,98.0,48.0,36.0,32.0,18.0,6.0
GCfix_000310,498,542,522.0,558.0,520.0,410.0,354.0,338.0,314.0,212.0
GCall_007808,498,576,616.0,682.0,766.0,644.0,614.0,660.0,642.0,490.0
GCfix_005219,500,540,559.0,638.0,717.0,640.0,532.0,596.0,486.0,320.0
GCfix_005031,498,570,616.0,760.0,742.0,590.0,656.0,622.0,668.0,448.0
GCfix_000982,496,396,254.0,182.0,164.0,68.0,48.0,52.0,50.0,34.0
GCall_002161,498,660,732.0,930.0,1108.0,848.0,962.0,1150.0,990.0,784.0
GCall_000900,500,542,552.0,552.0,524.0,424.0,380.0,310.0,328.0,188.0
GCfix_009922,496,380,162.0,90.0,60.0,24.0,12.0,12.0,6.0,0.0
GCall_007752,498,580,550.0,620.0,566.0,432.0,384.0,344.0,302.0,190.0
GCall_001408,494,342,216.0,210.0,92.0,48.0,52.0,20.0,26.0,22.0
GCfix_002364,496,310,138.0,84.0,56.0,22.0,14.0,10.0,10.0,16.0
GCfix_002314,496,332,176.0,144.0,114.0,44.0,60.0,56.0,32.0,16.0
GCfix_000077,494,584,672.0,884.0,988.0,912.0,910.0,1062.0,1036.0,760.0
GCall_010923,498,586,630.0,636.0,700.0,600.0,554.0,628.0,508.0,400.0
GCfix_007384,498,274,172.0,118.0,56.0,42.0,26.0,22.0,18.0,10.0
GCfix_000590,498,712,770.0,932.0,1010.0,1038.0,948.0,1158.0,1186.0,814.0
GCfix_000458,494,656,688.0,864.0,846.0,786.0,776.0,834.0,764.0,602.0
GCall_004601,496,670,730.0,822.0,968.0,842.0,814.0,1014.0,962.0,728.0
GCfix_010181,496,198,62.0,36.0,20.0,16.0,4.0,6.0,2.0,2.0
GCfix_002984,494,218,130.0,50.0,16.0,12.0,10.0,14.0,22.0,4.0
GCfix_001606,492,512,614.0,806.0,740.0,672.0,616.0,792.0,682.0,436.0
GCfix_007930,492,516,538.0,604.0,570.0,470.0,408.0,504.0,384.0,254.0
GCall_009163,490,288,140.0,88.0,52.0,46.0,42.0,30.0,18.0,16.0
GCall_003813,492,598,502.0,706.0,694.0,662.0,564.0,672.0,614.0,432.0
GCfix_008161,492,474,336.0,248.0,216.0,108.0,82.0,62.0,40.0,30.0
